Audio_Id,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time_Signature,Album_Name,Album_Type,Album_Total_Tracks,Album_Popularity,Year,Month,Day,Track_Name,Track_Popularity,Duration,Track_Number,Disc Number,Artist_Name,Artist_Followers,Artist_Popularity
1,0.825,0.743,2.0,-5.995,1.0,0.149,0.0142,2.12e-05,0.237,0.8,127.045,4.0,Pitbull Starring In Rebelution,album,15,56,2009,10,23,I Know You Want Me (Calle Ocho),56,237120,3,1,Pitbull,11063007,86
2,0.677,0.665,7.0,-5.171,1.0,0.0305,0.56,1.01e-06,0.338,0.706,74.981,4.0,...Baby One More Time (Digital Deluxe Version),album,16,77,1999,1,12,From the Bottom of My Broken Heart,49,312533,6,1,Britney Spears,15721956,84
3,0.683,0.728,9.0,-8.92,1.0,0.259,0.568,5.08e-05,0.0384,0.833,75.311,4.0,"Lola vs. Powerman and the Moneygoround, Pt. One + Percy (Super Deluxe)",album,43,0,2014,10,20,Apeman - 2014 Remastered Version,0,233400,11,1,The Kinks,2668890,67
4,0.56,0.68,6.0,-7.648,0.0,0.321,0.555,0.0,0.116,0.319,89.391,4.0,Eastside (with Halsey & Khalid),single,1,64,2018,7,12,Eastside (with Halsey & Khalid),69,173799,1,1,benny blanco,1267195,79
5,0.48,0.628,6.0,-7.643,1.0,0.0262,0.174,3.28e-05,0.0753,0.541,143.412,4.0,Candle In The Wind 1997 / Something About ...,single,3,54,1997,1,1,Something About The Way You Look Tonight - Edit Version,55,240546,1,1,Elton John,14155119,85
7,0.852,0.874,7.0,-11.208,1.0,0.0427,0.0168,0.45,0.133,0.666,129.029,4.0,The Greatest Hits,compilation,19,56,2002,9,10,It's Like That,61,250626,1,1,Run–D.M.C.,1408097,66
8,0.557,0.533,10.0,-6.817,0.0,0.0252,0.0492,0.0,0.205,0.233,143.994,4.0,Away From The Sun,album,12,74,2002,11,12,Here Without You,75,238733,6,1,3 Doors Down,4548781,73
9,0.26,0.659,2.0,-8.98,1.0,0.0625,0.114,2.95e-05,0.499,0.537,184.38,4.0,The Best of The Monkees,compilation,25,53,2008,7,1,Listen to the Band - Single Version,24,149106,25,1,The Monkees,1251492,65
10,0.818,0.67,8.0,-4.451,0.0,0.0472,0.304,1.22e-06,0.0601,0.939,119.988,4.0,x (Deluxe Edition),album,16,83,2014,6,21,Sing,65,235382,3,1,Ed Sheeran,117871001,90
11,0.261,0.302,5.0,-8.19,0.0,0.0339,0.769,2.57e-06,0.0863,0.0883,81.418,3.0,Writing's On The Wall,single,1,55,2015,9,25,"Writing's On The Wall - From ""Spectre"" Soundtrack",61,278987,1,1,Sam Smith,24879281,84
